predictors_lstm
dados históricos
XAUUSD: 2018.01.02-02:00 -> 2023.09.16-00:00 (aproximadamente 5 anos e meio)

losses_product:  best_basic              best_deep
H1_OHLC_S3_HL0 -  7.39201122421942e-11   6.954390228448772e-11
H1_OHLC_S3_HL1 -  7.354783689116938e-11  6.984871344846052e-11

H1_OHLC_S4_HL0 -  7.006344050609648e-11  6.98850777789589e-11
H1_OHLC_S5_HL0 -  7.134107205246122e-11  6.997673845872445e-11
H1_OHLC_S6_HL0 -  7.129514327566026e-11  6.934859134260605e-11

H1_OHLC_S7_HL0 -  7.003803505719699e-11, 6.95053467474802e-11
H1_OHLC_S7_HL1 -  6.929861872314437e-11, 6.929861872314437e-11
H1_OHLC_S7_HL2 -  7.427292563881349e-11, 7.030100776989109e-11

H1_OHLC_S8_HL0 -  7.105600845452363e-11, 6.98038596982736e-11
H1_OHLC_S8_HL1 -  6.902181230814393e-11, 6.902181230814393e-11
H1_OHLC_S8_HL2 -  7.002436960597785e-11, 7.002436960597785e-11

H1_OHLC_S9_HL0 -  7.042660077868083e-11  7.017600942449743e-11
H1_OHLC_S10_HL0 - 7.072196460441111e-11  6.947017547970543e-11
H1_OHLC_S11_HL0 - 7.079260641631379e-11  7.012372937842302e-11
H1_OHLC_S12_HL0 - 7.088759745804256e-11  6.978848344133178e-11
H1_OHLC_S13_HL0 - 7.124882696888815e-11  7.035761966426011e-11
H1_OHLC_S14_HL0 - 6.988894101966336e-11  6.988894101966336e-11
H1_OHLC_S15_HL0 - 7.092223612679011e-11  7.001606166678543e-11

---

H1_OHLCV_S8_HL0 - 7.107186661701669e-11, 7.016441328177466e-11
H1_OHLCV_S8_HL1 - 7.114093367069713e-11, 6.893113958737936e-11
